name,compiler,type,threads,input,dtlb_loads,major_faults,mpxerrors,minor_faults,dtlb_store_misses,branch_misses,branch_instructions,dtlb_load_misses,mpxbtnum,time,cycles,dtlb_stores,sgxmem,instructions,sgxtime
string_match,gcc,mpx_no_narrow_bounds,4,native,9984337539,0,,8476,588,64498953,9726307124,60798,,1.577092581,21772045694,7520677828,,51696514984,
string_match,gcc,mpx_no_narrow_bounds,8,native,10035685946,0,,8478,519,65465576,9746983794,55255,,1.382349884,38755609112,7522723187,,51581786664,
pca,gcc,mpx_no_narrow_bounds,2,native,229925512183,0,,17888,2064574,5169833,13698013491,232532,,42.715452797,321354161258,155731832,,541098765884,
pca,gcc,mpx_no_narrow_bounds,4,native,229906584185,0,,17848,3332686,5272985,13697320947,263438,,22.415958068,321256452410,153858126,,541144589225,
pca,gcc,mpx_no_narrow_bounds,8,native,229989683778,0,,17900,4223322,5330799,13713489646,519912,,21.648547402,619566374472,167512658,,541251693710,
word_count,clang,asan,2,native,63756980435,0,,40968,138361,168640745,63451703321,11923797,,11.631995413,83345900663,56458545497,,315295590317,
word_count,clang,asan,4,native,63277978835,0,,40575,122047,170503717,63466310947,11907767,,6.334278019,83297958238,56610407496,,316036242882,
word_count,clang,asan,8,native,63428627203,0,,41052,167080,179504602,63335100095,30799721,,6.179826891,149976507401,56816925565,,314999876070,
kmeans,clang,asan,2,native,29297490751,0,,52143,173296,19021427,24950952620,454463,,7.324632075,41448827945,7672372293,,127867276733,
kmeans,clang,asan,4,native,19226114535,0,,52214,170886,19237655,18480644795,1246304,,2.982687865,25400121677,2280739528,,95639715868,
kmeans,clang,asan,8,native,18574380125,0,,52279,185337,19425190,18197214371,6196143,,2.588551412,41761984330,1240726028,,94938825927,
histogram,clang,asan,2,native,8693020416,0,,65235,2823,298672,4756043616,262245,,1.05549465,7652579158,1534481848,,27882842162,
histogram,clang,asan,4,native,8582745601,0,,65235,1809,325310,4811688383,331195,,0.673254683,8451490863,1507718017,,28257268268,
histogram,clang,asan,8,native,8515703676,0,,65231,2265,306280,4730227177,274178,,0.669579909,15000062333,1477529299,,27705913849,
linear_regression,clang,asan,2,native,1204966310,0,,25684,1504,123257,907927974,183020,,0.360559974,2484709505,72487006,,9322805230,
linear_regression,clang,asan,4,native,1195296894,0,,25678,1322,144782,896013888,175352,,0.207356818,2458161583,89825830,,9029258957,
linear_regression,clang,asan,8,native,1173060253,0,,25682,645,133199,846235676,151879,,0.185915162,4151419877,42964239,,8787570073,
matrix_multiply,clang,asan,2,native,19764820363,0,,3179,753551,2530200,14001442906,3664157751,,10.37760081,66334441370,3930559428,,87452092854,
matrix_multiply,clang,asan,4,native,20036205985,0,,3864,648157,2544090,14161299536,3463506059,,6.794555505,63692267462,4094867775,,88208961132,
matrix_multiply,clang,asan,8,native,19798582226,0,,3770,174731,2551101,14001546032,4003918053,,7.002628599,120838098388,3926953972,,87349584190,
string_match,clang,asan,2,native,19394576748,0,,25731,1987,65556634,23766812517,167364,,3.835964069,28484256533,11481631917,,113296960666,
string_match,clang,asan,4,native,19466603316,0,,25732,1510,65437026,23769754555,163092,,2.078066685,28593126154,11559564562,,113038967040,
string_match,clang,asan,8,native,19381134080,0,,25731,1175,67523053,23771064482,158384,,2.277838539,64054659723,11464724933,,113105821689,
pca,clang,asan,2,native,20802860151,0,,26246,4487389,4951492,15591150667,7179305,,4.346566503,32276200802,268745200,,130131169363,
pca,clang,asan,4,native,20851498205,0,,27157,4523095,4987202,15613507078,7405209,,2.402869026,33376059066,294948551,,130333242191,
pca,clang,asan,8,native,20731460433,0,,29879,4558529,5047991,15534461491,10476139,,2.200350815,60300569685,210048731,,129878410129,
word_count,clang,native,2,native,4363156723,0,,31993,79173,122171692,3030500718,5943029,,3.353610054,24158255676,2265873599,,18423545749,
word_count,clang,native,4,native,4408609866,0,,32243,74082,121752672,3042292130,5067105,,1.849937806,24854504785,2249945829,,18608171088,
word_count,clang,native,8,native,4439176245,0,,32225,156171,124086511,3067871272,18770673,,1.55536065,34231177168,2298062249,,18733878359,
kmeans,clang,native,2,native,2973537111,0,,2820,13250,9276722,3838014481,358550,,1.821312376,9883203227,101686403,,34123952717,
kmeans,clang,native,4,native,8077210659,0,,2822,928,20311568,6253572054,692611,,1.05570178,238949695,54054157,,23667584158,
kmeans,clang,native,8,native,5460670681,0,,2821,20445,15833980,5939254402,4842297,,0.959812735,15482873944,80568930,,38390792473,
histogram,clang,native,2,native,2794811112,0,,21634,618,101303,506306789,77671,,0.36715365,2586556056,1429943063,,5631046247,
histogram,clang,native,4,native,2857133972,0,,21635,636,93186,502353016,95595,,0.223599504,2592117443,1404658460,,5622114452,
